date,gdp
2000-01-01,9134587
2000-04-01,9320414
2000-07-01,9548491
2000-10-01,9722918
2001-01-01,9699363
2001-04-01,9802413
2001-07-01,9809483
2001-10-01,9930104
2002-01-01,10063566
2002-04-01,10205818
2002-07-01,10274208
2002-10-01,10305402
2003-01-01,10440088
2003-04-01,10240791
2003-07-01,10464381
2003-10-01,10816002
2004-01-01,11091411
2004-04-01,11282549
2004-07-01,11403289
2004-10-01,11629461
2005-01-01,11771814
2005-04-01,11936392
2005-07-01,11951919
2005-10-01,12149194
2006-01-01,12278116
2006-04-01,12447026
2006-07-01,12592998
2006-10-01,12596475
2007-01-01,12548685
2007-04-01,12641374
2007-07-01,12821498
2007-10-01,12996220
2008-01-01,13203590
2008-04-01,13437956
2008-07-01,13689235
2008-10-01,13919627
2009-01-01,13721197
2009-04-01,13663730
2009-07-01,13579505
2009-10-01,13593300
2010-01-01,13729815
2010-04-01,13946256
2010-07-01,14175891
2010-10-01,14629093
2011-01-01,14790364
2011-04-01,15176741
2011-07-01,15409103
2011-10-01,15548856
2012-01-01,15798590
2012-04-01,16072842
2012-07-01,16196959
2012-10-01,16294042
2013-01-01,16458713
2013-04-01,16802240
2013-07-01,17131619
2013-10-01,17153556
2014-01-01,17096076
2014-04-01,17494063
2014-07-01,17736022
2014-10-01,17779201
2015-01-01,17816050
2015-04-01,17537769
2015-07-01,17492225
2015-10-01,17328633
2016-01-01,17204627
2016-04-01,17328097
2016-07-01,17310908
2016-10-01,17470434
2017-01-01,17497935
2017-04-01,17685968
2017-07-01,17819405
2017-10-01,17952383
2018-01-01,17762564
2018-04-01,17943194
2018-07-01,18080826
2018-10-01,18083933
2019-01-01,17970651
2019-04-01,18009165
2019-07-01,18075353
2019-10-01,17824048
2020-01-01,17647247
2020-04-01,15504941
2020-07-01,16454336
2020-10-01,16675022
2021-01-01,16929406
2021-04-01,17298695
2021-07-01,17367296
2021-10-01,17493339
